//22/04/2026 21:00:53.637
365:Plus500:Plus500:30/12/1899:1:77
367:PropHub:PropHub:30/12/1899:1:77
368:367:PropHub:30/12/1899:1:104
369:Fortunes:Fortunes:30/12/1899:1:77
370:TradeRace:TradeRace:30/12/1899:1:77,35
371:Blueberry:Blueberry:30/12/1899:1:77
372:Orion:Orion:30/12/1899:1:77
373:Horizon:Horizon:30/12/1899:1:77
374:PropHub:PropHub:30/12/1899:1:35
379:Euroinvest:Euroinvest:30/12/1899:1:77
380:Belive:Belive:30/12/1899:1:101
381:LVL Trading:LVL Trading:30/12/1899:1:35
386:RICO INVESTIMENTOS - GRUPO XP:Rico:30/12/1899:1:66,70
500:Cboe BYX Enchange,  Inc.:BYX:30/12/1899:1:116,78,89
501:Cboe BZX Enchange,  Inc.:BATS:30/12/1899:1:116,78,89
502:Cboe EDGA Enchange,  Inc.:EDGA:30/12/1899:1:116,78,89
503:Cboe EDGX Enchange,  Inc.:EDGX:30/12/1899:1:116,78,89
504:Cboe Exchange,  Inc.:CBSX:30/12/1899:1:116,78,89
505:Nasdaq BX, Inc:NQBX:30/12/1899:1:116,78,89
506:Nasdaq PHLX LLC:PSX:30/12/1899:1:116,78,89
507:Nasdaq, Inc:NASD:30/12/1899:1:116,78,89
508:Nasdaq ISE, LLC:ISE:30/12/1899:1:116,78,89
509:New York Stock Exchange LLC:NYSE:30/12/1899:1:116,78,89
510:NYSE ARCA, Inc:ARCA:30/12/1899:1:116,78,89
511:NYSE American LLC:AMEX:30/12/1899:1:116,78,89
512:NYSE National, Inc.:NSX:30/12/1899:1:116,78,89
513:NYSE Texas, Inc:CHX:30/12/1899:1:116,78,89
514:24X National Exchange LLC:24X:30/12/1899:1:116,78,89
515:Financial Industry Regulatory Authority:FINRA:30/12/1899:1:116,78,89
516:Investor's Exchange LLC:IEX:30/12/1899:1:116,78,89
517:Long-Term Stock Exchange:LTSE:30/12/1899:1:116,78,89
518:MIAX Pearl, LLC:MIAX:30/12/1899:1:116,78,89
519:MEMX LLC:MEMX:30/12/1899:1:116,78,89
622:Banco Santander Brasil S.A.:Santander:16/07/2025:1:66,70
635:Banco Santander Brasil S.A.:Santander:16/07/2025:1:66,70
688:ABN AMRO CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA:ABN:30/12/1899:1:66,70
735:ICAP do Brasil CTVM LTDA:ICAP:30/12/1899:1:66,70
746:LEV DTVM LTDA:LEV:30/12/1899:1:66,70
833:Banco de Investimentos Credit Suisse (Brasil) S/A:Credit:30/12/1899:1:66,70
900:Prop Dev Staging:Prop Dev Staging:30/12/1899:1:77
995:UBS (BRASIL) CORRETORA DE VALORES S.A.:UBS:30/12/1899:1:66,70
1026:Banco BTG Pactual S.A.:BTG:30/12/1899:1:66,70
1081:BANCOSEGURO S.A.:BANCOSEGURO:30/12/1899:1:66,70
1089:RB CAPITAL INVESTIMENTOS DTVM:RB Capital:30/12/1899:1:66,70
1099:INTER DTVM LTDA:Inter:30/12/1899:1:66,70
1130:STONEX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA:Stonex:30/12/1899:1:66,70
1618:IDEAL CTVM SA:Ideal:30/12/1899:1:66,70
1850:BANCO COOPERATIVO SICREDI S/A:Sicredi:30/12/1899:1:66,70
1855:VITREO DISTRIBUIDORA DE TITULOS VALORES MOBILIARIOS S.A.:Vitreo DTVM S.A.:30/12/1899:1:66,70
1953:Banco Cooperativo Sicoob SA:Sicoob:30/12/1899:1:66,70
1982:MODAL DTVM LTDA:Modal:30/12/1899:1:66,70
2028:Itau Unibanco S/A:Itau Unibanco:30/12/1899:1:66,70
2659:Banco do Brasil S.A.:BB:30/12/1899:1:66,70
3701:ORAMA DTVM S.A.:Orama:30/12/1899:1:66,70
4002:BANCO ANDBANK (BRASIL) S.A.:Andbank:30/12/1899:1:66,70
4015:GALAPAGOS CAPITAL DTVM S.A:Galapagos Capital:30/12/1899:1:66,70
4090:SANTANDER CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.:Santander:30/12/1899:1:66,70
5264:ASA ASSET GESTAO EM INVESTIMENTOS LTDA:ASA:30/12/1899:1:66,70
6003:C6 CTVM LTDA:C6:30/12/1899:1:66,70
7029:LIGA INVEST DTVM LTDA:Liga:30/12/1899:1:66,70
7035:PAGINVEST CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA:PAGINVEST:30/12/1899:1:66,70
7078:SCOTIABANK BRASIL S.A. CTVM:SCOTIABANK:30/12/1899:1:66,70
811675:TC Traders Club SA:TC Traders Club SA:30/12/1899:1:66,70
